fecha,caja_neta,ingreso_efectivo,ingreso_tarjeta,ingreso_transferencia,gasto_operativo,gasto_extraordinario,saldo_diario,yhat,yhat_lower_80,yhat_upper_80,yhat_lower,yhat_upper,es_anomalia,severidad,tipo_anomalia,horizonte
2024-01-31,29805.844684930256,24676.838996894872,38262.93136595533,15952.2643660251,49086.190043945055,0.0,29805.844684930256,,,,,,False,,,
2024-02-01,7821.8641008333,12298.402613055034,19722.120192736507,7799.345343987438,31998.00404894568,0.0,7821.8641008333,,,,,,True,bajo,Benford,
2024-02-02,10104.047687885371,13715.999908998065,20946.51413483742,7541.431956257566,32099.89831220768,0.0,10104.047687885371,,,,,,False,,,
2024-02-03,-16480.38424594095,8072.455713879619,12767.88223992276,4974.385726630695,42295.107926374025,0.0,-16480.38424594095,,,,,,True,medio,Temporal,
2024-02-04,-1929.9147989529663,10978.628179586512,18672.956514218225,5223.314447850146,36804.81394060785,0.0,-1929.9147989529663,,,,,,True,medio,Temporal,
2024-02-05,24823.69424608382,16714.762192907263,26618.02442007738,10113.726047519083,28622.818414419908,0.0,24823.69424608382,,,,,,False,,,
2024-02-06,17039.57344112948,12755.829574588284,20584.63828565321,8234.40671870152,24535.30113781353,0.0,17039.57344112948,,,,,,False,,,
2024-02-07,6127.886935168161,9685.305597464414,16783.5699004871,10172.395020501988,30513.38358328534,0.0,6127.886935168161,,,,,,True,bajo,Benford,
2024-02-08,-36064.52505613744,12033.754888538057,19231.66848540331,8624.715826651447,40404.27086527624,35550.39339145401,-36064.52505613744,,,,,,True,bajo,IQR,
2024-02-09,22428.22501477889,15305.243074669124,26212.24770367213,11464.531106275304,30553.796869837657,0.0,22428.22501477889,,,,,,False,,,
2024-02-10,13082.61052031626,10335.454817300351,18315.951754691567,9013.80847905231,24582.60453072797,0.0,13082.61052031626,,,,,,True,medio,Temporal,
2024-02-11,16227.094785712354,11611.740677337635,18363.56040775681,4828.284586453096,18576.490885835192,0.0,16227.094785712354,,,,,,True,medio,Temporal,
2024-02-12,20834.72852611503,13557.468007245749,20126.765218538032,6836.634079712041,19686.13877938079,0.0,20834.72852611503,,,,,,False,,,
2024-02-13,30416.138254942733,16138.433331761182,25933.65021960013,7253.106584743215,18909.0518811618,0.0,30416.138254942733,,,,,,False,,,
2024-02-14,15663.530125304002,12714.37481769349,20887.541693488503,8070.312091156189,26008.698477034173,0.0,15663.530125304002,,,,,,False,,,
2024-02-15,4136.43455467638,14447.806429819637,22123.497948489126,7609.900691659373,40044.77051529176,0.0,4136.43455467638,,,,,,False,,,
2024-02-16,18094.756097943937,15714.725562635696,26077.22758170109,10548.407543106836,34245.604589499686,0.0,18094.756097943937,,,,,,False,,,
2024-02-17,-13475.961317992123,8892.710555181136,14625.6980736222,5728.546366428131,42722.91631322359,0.0,-13475.961317992123,,,,,,True,medio,Temporal,
2024-02-18,1881.2453418008663,9745.937573058987,18724.99709050216,6569.936544075208,33159.62586583549,0.0,1881.2453418008663,,,,,,True,medio,Temporal,
2024-02-19,25739.905362428275,15089.941688015226,22228.09280244313,11684.8563652574,23262.985493287488,0.0,25739.905362428275,,,,,,False,,,
2024-02-20,20668.611497956183,14234.222223112934,21736.83398404156,11286.106692794134,26588.55140199245,0.0,20668.611497956183,,,,,,False,,,
2024-02-21,17824.280979263996,14203.860044352205,25361.21456557675,12283.86784779014,34024.6614784551,0.0,17824.280979263996,,,,,,False,,,
2024-02-22,1588.7647008363274,10660.567078721257,17838.823243748357,7157.535380752176,34068.16100238546,0.0,1588.7647008363274,,,,,,False,,,
2024-02-23,13798.59686722348,14186.36533488416,24426.447792673825,8927.763953802412,33741.98021413691,0.0,13798.59686722348,,,,,,False,,,
2024-02-24,-697.724958235176,10621.4057765515,16107.09988358234,4887.410695755687,32313.6413141247,0.0,-697.724958235176,,,,,,True,medio,"Benford, Temporal",
2024-02-25,-6069.2922122311575,10411.916489278448,16125.187864184389,6216.691868084038,38823.08843377803,0.0,-6069.2922122311575,,,,,,True,medio,"Benford, Temporal",
2024-02-26,18255.958225737424,14643.65218323208,25381.55486292802,8749.75017780712,30518.99899822979,0.0,18255.958225737424,,,,,,False,,,
2024-02-27,29681.75038783106,19626.74807957701,33503.522428401324,11224.84075704014,34673.36087718741,0.0,29681.75038783106,,,,,,False,,,
2024-02-28,7678.421104326728,12230.615069695054,20474.08727594928,7944.202237409358,32970.483478726965,0.0,7678.421104326728,,,,,,True,bajo,Benford,
2024-02-29,11843.58743480216,16569.613925790945,29072.697963746727,10347.13734649828,44145.86180123378,0.0,11843.58743480216,,,,,,False,,,
2024-03-01,-4107.466091839418,8583.53320225156,15586.668221824384,6666.832173624406,34944.49968953977,0.0,-4107.466091839418,,,,,,False,,,
2024-03-02,-7267.761418463579,8217.146134935309,13523.844492875663,5928.127976433385,34936.880022707934,0.0,-7267.761418463579,,,,,,True,medio,"Benford, Temporal",
2024-03-03,31031.68640829973,41046.77381683947,16639.71813511656,6506.411481551115,33161.217025207414,0.0,31031.68640829973,,,,,,True,medio,Temporal,
2024-03-04,17797.138164700336,14888.399961931324,27190.21316573492,12062.265537869662,36343.74050083556,0.0,17797.138164700336,,,,,,False,,,
2024-03-05,11687.736414865794,14332.52320157154,23101.48663388425,8766.487368863312,34512.760789453314,0.0,11687.736414865794,,,,,,False,,,
2024-03-06,13285.163798752035,15837.250048765394,27240.04781384495,8371.528464160438,38163.66252801874,0.0,13285.163798752035,,,,,,False,,,
2024-03-07,-68.01767896566889,10060.34928366724,17168.476564348763,10840.22201542408,38137.06554240575,0.0,-68.01767896566889,,,,,,True,bajo,Benford,
2024-03-08,18940.59796689543,13217.87508798847,20951.90545667388,10253.137051415935,25482.319629182857,0.0,18940.59796689543,,,,,,False,,,
2024-03-09,10730.878980259751,11973.887754270712,17825.623205637574,7628.943927432861,26697.575907081395,0.0,10730.878980259751,,,,,,True,medio,Temporal,
2024-03-10,-4606.119126202728,8912.992114381888,13673.578943946666,5163.811710155243,32356.501894686524,0.0,-4606.119126202728,,,,,,True,medio,Temporal,
2024-03-11,7940.504868558095,12137.199748005369,18740.97224567386,6989.428516036891,29927.095641158023,0.0,7940.504868558095,,,,,,True,bajo,Benford,
2024-03-12,3459.850123945147,10545.052528574608,16472.69863671033,8041.47280754646,31599.37384888625,0.0,3459.850123945147,,,,,,False,,,
2024-03-13,16240.568500417008,10398.019894370364,17640.94695644591,8690.292038709133,20488.6903891084,0.0,16240.568500417008,,,,,,False,,,
2024-03-14,21674.36416903298,13198.846940642035,22894.66518498799,11328.740299424026,25747.888256021077,0.0,21674.36416903298,,,,,,False,,,
2024-03-15,-178689.07776634995,14548.594375436072,26033.053844629914,6824.571965284449,226095.2979517004,0.0,-178689.07776634995,,,,,,True,crítico,"Isolation Forest, Z-score, IQR, Temporal",
2024-03-16,12201.968710765635,11455.124895623318,19963.047733422944,5823.898748894456,25040.10266717508,0.0,12201.968710765635,,,,,,True,alto,"Isolation Forest, Temporal",
2024-03-17,7237.807628738581,9409.206176031596,14204.6549954454,5271.184854655982,21647.238397394394,0.0,7237.807628738581,,,,,,True,crítico,"Isolation Forest, Benford, Temporal",
2024-03-18,26604.6749128782,15790.787858495774,24163.28705409264,9085.700917688057,22435.100917398275,0.0,26604.6749128782,,,,,,True,medio,Isolation Forest,
2024-03-19,16076.531816741552,15570.831089220796,24978.64053218598,11814.90340666632,36287.84321133154,0.0,16076.531816741552,,,,,,True,medio,Isolation Forest,
2024-03-20,14178.811701265033,12513.335740332794,21006.15307750501,11964.38376027458,31305.060876847347,0.0,14178.811701265033,,,,,,True,medio,Isolation Forest,
2024-03-21,8748.515382694808,14353.336750080463,24327.933476062102,10203.141492145822,40135.89633559358,0.0,8748.515382694808,,,,,,True,medio,"Isolation Forest, Benford",
2024-03-22,6435.974340535759,11770.530927926447,18565.66558995573,8338.812020926476,32239.034198272893,0.0,6435.974340535759,,,,,,True,medio,"Isolation Forest, Benford",
2024-03-23,1976.8939026667688,9214.445964420498,15514.298551512687,6405.522952998031,29157.373566264447,0.0,1976.8939026667688,,,,,,True,medio,Temporal,
2024-03-24,3820.41770072341,9189.217384323649,14909.458910712752,7759.422144909265,28037.68073922225,0.0,3820.41770072341,,,,,,True,medio,Temporal,
2024-03-25,18299.67769771512,13046.301333066804,20731.592008424817,8988.775034127897,24466.9906779044,0.0,18299.67769771512,,,,,,False,,,
2024-03-26,26565.16702751889,16272.543233787048,28230.610423077374,11624.384272134856,29562.370901480383,0.0,26565.16702751889,,,,,,False,,,
2024-03-27,17156.40996090073,12989.59331360303,22926.40284198,9274.836857132654,28034.42305181495,0.0,17156.40996090073,,,,,,False,,,
2024-03-28,30312.418962356707,15608.679752489286,25910.87757740719,9451.045921807852,20658.18428934762,0.0,30312.418962356707,,,,,,False,,,
2024-03-29,35813.27935890772,18512.623065507378,30029.431360277416,14865.993443501842,27594.768510378923,0.0,35813.27935890772,,,,,,False,,,
2024-03-30,18299.67769771512,13046.301333066804,20731.592008424817,8988.775034127897,24466.9906779044,0.0,18299.67769771512,,,,,,True,medio,Temporal,
2024-03-31,-6991.056727420713,12252.492785886405,19413.59070197205,8444.99198639679,47102.13220167596,0.0,-6991.056727420713,,,,,,True,medio,"Benford, Temporal",
2024-04-01,23106.76947597201,13538.228570946754,25036.73834230096,10262.22951975978,25730.426957035485,0.0,23106.76947597201,,,,,,False,,,
2024-04-02,-107655.64931228755,13489.80683779648,23218.352210975718,9748.314789258611,36816.5874746621,117295.53567565628,-107655.64931228755,,,,,,True,crítico,"Isolation Forest, Z-score, IQR, Temporal",
2024-04-03,13179.930948306508,14869.05801491862,21369.12224092705,8990.131544673823,32048.380852212984,0.0,13179.930948306508,,,,,,True,alto,"Isolation Forest, Temporal",
