fecha,ingreso_efectivo,ingreso_tarjeta,ingreso_transferencia,gasto_operativo,gasto_extraordinario,saldo_diario,saldo_acumulado,es_festivo,es_finde,tiene_anomalia,tipo_anomalia,caja_neta,lag_1,lag_7,lag_14,lag_30,rolling_mean_7,rolling_mean_14,rolling_mean_30,rolling_std_7,rolling_std_30,dia_semana,mes,trimestre,es_cierre_mes,dia_del_mes,dia_del_año
2024-01-31,24676.838996894872,38262.93136595533,15952.2643660251,49086.190043945055,0.0,29805.844684930256,303878.6454934103,False,False,False,,29805.844684930256,18716.351121919557,14797.83593821148,27429.332023644907,16859.238411438644,8461.579175441377,9732.566839705729,9567.313569399053,15029.768367742052,12660.767819082317,2,1,1,True,31,31
2024-02-01,12298.402613055034,19722.120192736507,7799.345343987438,31998.00404894568,0.0,7821.8641008333,311700.5095942436,False,False,False,,7821.8641008333,29805.844684930256,9354.41787345634,7313.599996356115,5253.920945499038,8242.642922209514,9768.871418596957,9652.911674576862,15025.756586514097,12639.262361365794,3,2,1,False,1,32
2024-02-02,13715.999908998065,20946.51413483742,7541.431956257566,32099.898312207682,0.0,10104.047687885373,321804.55728212895,False,False,False,,10104.047687885373,7821.8641008333,12985.433327298,27980.357341563355,16442.472361116714,7831.016402293425,8491.992157619958,9441.630852135817,14913.220522491805,12574.665060257359,4,2,1,False,2,33
2024-02-03,8072.455713879619,12767.882239922761,4974.385726630695,42295.107926374025,0.0,-16480.38424594095,305324.173036188,False,True,False,,-16480.38424594095,10104.047687885373,-2920.0538552602884,-9021.491332777863,13684.765214875253,5893.826346481901,7959.214092394022,8436.12587010861,17241.49370329513,13402.469290511835,5,2,1,False,3,34
2024-02-04,10978.628179586512,18672.956514218222,5223.314447850146,36804.81394060785,0.0,-1929.9147989529665,303394.258237235,False,True,False,,-1929.9147989529665,-16480.38424594095,8199.771395477914,-3631.3148269015473,-3271.169357854269,4446.728318706061,8080.7426658189215,8480.83435540532,17439.655600347665,13364.251571015739,6,2,1,False,4,35
2024-02-05,16714.762192907263,26618.02442007738,10113.726047519085,28622.818414419908,0.0,24823.69424608382,328217.95248331886,True,False,False,,24823.69424608382,-1929.9147989529665,-16910.71031973214,9023.683638732917,-13937.588460701838,10408.786113822627,9209.31485205827,9772.877112298176,15995.349052652338,12990.60075967915,0,2,1,False,5,36
2024-02-06,12755.829574588284,20584.63828565321,8234.40671870152,24535.30113781353,0.0,17039.57344112948,345257.52592444833,False,False,False,,17039.57344112948,24823.69424608382,18716.351121919557,30562.210772606104,-5324.561479919732,10169.246445138331,8243.412185524228,10518.34827633315,15862.204540685274,12733.496337885485,1,2,1,False,6,37
2024-02-07,9685.305597464414,16783.5699004871,10172.395020501988,30513.38358328534,0.0,6127.886935168161,351385.4128596165,False,False,False,,6127.886935168161,17039.57344112948,29805.844684930256,14797.83593821148,12118.47126879236,6786.6810523151735,7624.130113878275,10318.66213187901,13293.491848419486,12754.492732623747,2,2,1,False,7,38
2024-02-08,12033.754888538057,19231.66848540331,8624.715826651447,40404.27086527624,35550.39339145401,-36064.525056137434,315320.8878034791,False,False,False,,-36064.525056137434,6127.886935168161,7821.8641008333,9354.41787345634,16569.797823158286,517.1968870336412,4379.919904621577,8564.184702569151,20897.81006173497,15242.423879467038,3,2,1,False,8,39
2024-02-09,15305.243074669124,26212.24770367213,11464.531106275304,30553.796869837657,0.0,22428.225014778895,337749.112818258,False,False,False,,22428.225014778895,-36064.525056137434,10104.047687885373,12985.433327298,8165.511195212246,2277.79364801843,5054.4050251559265,9039.608496554707,22311.42581321518,15450.571829185217,4,2,1,False,9,40
2024-02-10,10335.454817300353,18315.951754691567,9013.80847905231,24582.60453072797,0.0,13082.610520316259,350831.7233385743,False,True,False,,13082.610520316259,22428.225014778895,-16480.38424594095,-2920.0538552602884,19410.702763930363,6501.078614626603,6197.452480554252,8828.672088434238,20923.751294043188,15346.94889324997,5,2,1,False,10,41
2024-02-11,11611.740677337637,18363.56040775681,4828.2845864530955,18576.490885835192,0.0,16227.094785712354,367058.81812428666,False,True,False,,16227.094785712354,13082.610520316259,-1929.9147989529665,8199.771395477914,29393.569934832623,9094.937126721648,6770.832722713855,8389.78958346356,20829.61527907188,14920.917357635759,6,2,1,False,11,42
