fecha,ingreso_efectivo,ingreso_tarjeta,ingreso_transferencia,gasto_operativo,gasto_extraordinario,saldo_diario,saldo_acumulado,es_festivo,es_finde,tiene_anomalia,tipo_anomalia
2024-01-01,12891.571479520506,23992.86247173993,9622.496628152103,29647.692167973895,0.0,16859.238411438644,16859.238411438644,True,False,False,
2024-01-02,10354.271101103415,18783.544436820197,8160.184759689692,32044.079352114266,0.0,5253.920945499038,22113.159356937682,False,False,False,
2024-01-03,14779.408290532258,23290.61639992383,9766.54481236331,31394.09714170269,0.0,16442.472361116714,38555.6317180544,False,False,False,
2024-01-04,14905.55488117521,25960.3086242831,8627.041702655444,35808.1399932385,0.0,13684.765214875253,52240.39693292965,False,False,False,
2024-01-05,9548.76282706461,16322.760415565726,4834.3846072069955,33977.0772076916,0.0,-3271.169357854269,48969.22757507538,False,False,False,
2024-01-06,7124.897627084683,12263.169830067904,4662.497523955943,37988.15344181037,0.0,-13937.588460701838,35031.639114373545,True,True,False,
2024-01-07,9392.308192865517,15967.42752026327,5377.991202616921,36062.28839566544,0.0,-5324.561479919732,29707.077634453814,False,True,False,
2024-01-08,14077.621750801762,24371.387028005294,7986.903460530945,34317.440970545635,0.0,12118.47126879236,41825.54890324618,False,False,False,
2024-01-09,14771.57720207968,24463.7133906095,7576.076433480417,30241.569203011317,0.0,16569.797823158286,58395.34672640446,False,False,False,
2024-01-10,12512.137744572474,20275.00279564284,6790.6768474824075,31412.30619248547,0.0,8165.511195212246,66560.8579216167,False,False,False,
2024-01-11,14771.711327957028,28260.670816733516,12167.8047360535,35789.48411681368,0.0,19410.702763930363,85971.56068554707,False,False,False,
2024-01-12,15737.272678407604,31492.065746539047,14472.238004777308,32308.006494891328,0.0,29393.569934832623,115365.1306203797,False,False,False,
2024-01-13,10123.623234533838,15122.197089867866,6387.051537250429,28835.203883097285,0.0,2797.6679785548513,118162.79859893455,False,True,False,
2024-01-14,11513.651893927921,18279.84958636741,5769.407537477721,29624.526728132285,0.0,5938.382289640769,124101.18088857531,False,True,False,
2024-01-15,15393.94698963791,26036.735889566375,13628.805863125926,46647.420945935504,0.0,8412.06779639471,132513.24868497002,False,False,False,
